
LTL template,Sentence,LTL
G(!a) & F(b F(c)),Do not enter Thayer St first find the Citizen's Bank and then find the Watson Center,G ( ! Thayer St ) & F ( Citizen's Bank & F ( Watson Center ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Citizen's Bank and then find the Marston Hall,G ( ! Thayer St ) & F ( Citizen's Bank & F ( Marston Hall ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Barus Building and then find the Watson Center,G ( ! Thayer St ) & F ( Barus Building & F ( Watson Center ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Barus Building and then find the Marston Hall,G ( ! Thayer St ) & F ( Barus Building & F ( Marston Hall ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Barus Building and then find the Citizen's Bank,G ( ! Thayer St ) & F ( Barus Building & F ( Citizen's Bank ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Marston Hall and then find the Watson Center,G ( ! Thayer St ) & F ( Marston Hall & F ( Watson Center ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Marston Hall and then find the Barus Building,G ( ! Thayer St ) & F ( Marston Hall & F ( Barus Building ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Marston Hall and then find the Citizen's Bank,G ( ! Thayer St ) & F ( Marston Hall & F ( Citizen's Bank ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Watson Center and then find the Marston Hall,G ( ! Thayer St ) & F ( Watson Center & F ( Marston Hall ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Watson Center and then find the Barus Building,G ( ! Thayer St ) & F ( Watson Center & F ( Barus Building ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Watson Center and then find the Citizen's Bank,G ( ! Thayer St ) & F ( Watson Center & F ( Citizen's Bank ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Citizen's Bank and then find the Barus Building,G ( ! Thayer St ) & F ( Citizen's Bank & F ( Barus Building ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Citizen's Bank and then find the Watson Center,G ( ! Thayer St ) & F ( Citizen's Bank & F ( Watson Center ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Citizen's Bank and then find the Marston Hall,G ( ! Thayer St ) & F ( Citizen's Bank & F ( Marston Hall ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Barus Building and then find the Watson Center,G ( ! Thayer St ) & F ( Barus Building & F ( Watson Center ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Barus Building and then find the Marston Hall,G ( ! Thayer St ) & F ( Barus Building & F ( Marston Hall ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Barus Building and then find the Citizen's Bank,G ( ! Thayer St ) & F ( Barus Building & F ( Citizen's Bank ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Marston Hall and then find the Watson Center,G ( ! Thayer St ) & F ( Marston Hall & F ( Watson Center ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Marston Hall and then find the Barus Building,G ( ! Thayer St ) & F ( Marston Hall & F ( Barus Building ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Marston Hall and then find the Citizen's Bank,G ( ! Thayer St ) & F ( Marston Hall & F ( Citizen's Bank ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Watson Center and then find the Marston Hall,G ( ! Thayer St ) & F ( Watson Center & F ( Marston Hall ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Watson Center and then find the Barus Building,G ( ! Thayer St ) & F ( Watson Center & F ( Barus Building ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Watson Center and then find the Citizen's Bank,G ( ! Thayer St ) & F ( Watson Center & F ( Citizen's Bank ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Citizen's Bank and then find the Barus Building,G ( ! Angell St ) & F ( Citizen's Bank & F ( Barus Building ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Citizen's Bank and then find the Watson Center,G ( ! Angell St ) & F ( Citizen's Bank & F ( Watson Center ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Citizen's Bank and then find the Marston Hall,G ( ! Angell St ) & F ( Citizen's Bank & F ( Marston Hall ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Barus Building and then find the Watson Center,G ( ! Angell St ) & F ( Barus Building & F ( Watson Center ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Barus Building and then find the Marston Hall,G ( ! Angell St ) & F ( Barus Building & F ( Marston Hall ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Barus Building and then find the Citizen's Bank,G ( ! Angell St ) & F ( Barus Building & F ( Citizen's Bank ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Marston Hall and then find the Watson Center,G ( ! Angell St ) & F ( Marston Hall & F ( Watson Center ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Marston Hall and then find the Barus Building,G ( ! Angell St ) & F ( Marston Hall & F ( Barus Building ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Marston Hall and then find the Citizen's Bank,G ( ! Angell St ) & F ( Marston Hall & F ( Citizen's Bank ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Watson Center and then find the Marston Hall,G ( ! Angell St ) & F ( Watson Center & F ( Marston Hall ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Watson Center and then find the Barus Building,G ( ! Angell St ) & F ( Watson Center & F ( Barus Building ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Watson Center and then find the Citizen's Bank,G ( ! Angell St ) & F ( Watson Center & F ( Citizen's Bank ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Citizen's Bank and then find the Barus Building,G ( ! Angell St ) & F ( Citizen's Bank & F ( Barus Building ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Citizen's Bank and then find the Watson Center,G ( ! Angell St ) & F ( Citizen's Bank & F ( Watson Center ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Citizen's Bank and then find the Marston Hall,G ( ! Angell St ) & F ( Citizen's Bank & F ( Marston Hall ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Barus Building and then find the Watson Center,G ( ! Angell St ) & F ( Barus Building & F ( Watson Center ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Barus Building and then find the Marston Hall,G ( ! Angell St ) & F ( Barus Building & F ( Marston Hall ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Barus Building and then find the Citizen's Bank,G ( ! Angell St ) & F ( Barus Building & F ( Citizen's Bank ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Marston Hall and then find the Watson Center,G ( ! Angell St ) & F ( Marston Hall & F ( Watson Center ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Marston Hall and then find the Barus Building,G ( ! Angell St ) & F ( Marston Hall & F ( Barus Building ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Marston Hall and then find the Citizen's Bank,G ( ! Angell St ) & F ( Marston Hall & F ( Citizen's Bank ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Watson Center and then find the Marston Hall,G ( ! Angell St ) & F ( Watson Center & F ( Marston Hall ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Watson Center and then find the Barus Building,G ( ! Angell St ) & F ( Watson Center & F ( Barus Building ) )
G(!a) & F(b F(c)),Do not enter Angell St first find the Watson Center and then find the Citizen's Bank,G ( ! Angell St ) & F ( Watson Center & F ( Citizen's Bank ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Chipotle and then find the Bookstore,G ( ! Thayer St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Bookstore and then find the Chipotle,G ( ! Thayer St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Chipotle and then find the Bookstore,G ( ! Thayer St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Bookstore and then find the Chipotle,G ( ! Thayer St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Chipotle and then find the Bookstore,G ( ! Thayer St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b F(c)),Do not enter Thayer St first find the Bookstore and then find the Chipotle,G ( ! Thayer St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Chipotle and then find the Bookstore,G ( ! Brook St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Bookstore and then find the Chipotle,G ( ! Brook St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Chipotle and then find the Bookstore,G ( ! Brook St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Bookstore and then find the Chipotle,G ( ! Brook St ) & F ( Bookstore & F ( Chipotle ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Chipotle and then find the Bookstore,G ( ! Brook St ) & F ( Chipotle & F ( Bookstore ) )
G(!a) & F(b F(c)),Do not enter Brook St first find the Bookstore and then find the Chipotle,G ( ! Brook St ) & F ( Bookstore & F ( Chipotle ) )
